Rank,Country,Crime Index,Safety Index
1,Venezuela,80.7,19.3
2,Papua New Guinea,80.3,19.7
3,Haiti,78.9,21.1
4,Afghanistan,75.1,24.9
5,South Africa,74.7,25.3
6,Honduras,72,28
7,Trinidad And Tobago,70.9,29.1
8,Syria,68.1,31.9
9,Jamaica,67.4,32.6
10,Peru,67.1,32.9
11,Nigeria,66.6,33.4
12,Guyana,66.3,33.7
13,Angola,66.3,33.7
14,Cameroon,65.5,34.5
15,Bolivia,65,35
16,Brazil,64.5,35.5
17,Somalia,63.9,36.1
18,Yemen,63.7,36.3
19,Namibia,63.5,36.5
20,Argentina,63.4,36.6
21,Ecuador,62.5,37.5
22,Bangladesh,61.6,38.4
23,Puerto Rico,61.5,38.5
24,Colombia,60.9,39.1
25,Zimbabwe,60.7,39.3
26,Dominican Republic,60.5,39.5
27,Chile,60.5,39.5
28,Mozambique,60.1,39.9
29,Us Virgin Islands,59.9,40.1
30,Paraguay,59.8,40.2
31,El Salvador,58.6,41.4
32,Guatemala,57.7,42.3
33,Bahamas,56.9,43.1
34,Fiji,56.6,43.4
35,Ivory Coast,56.4,43.6
36,Libya,56.4,43.6
37,Kenya,56,44
38,France,55.4,44.6
39,Kyrgyzstan,54.3,45.7
40,North Korea,54.1,45.9
41,Maldives,54.1,45.9
42,Uganda,54.1,45.9
43,Costa Rica,54.1,45.9
44,Tanzania,53.5,46.5
45,Mexico,53.4,46.6
46,Belize,52.7,47.3
47,Botswana,52.7,47.3
48,Algeria,52.6,47.4
49,Mongolia,52.1,47.9
50,Uruguay,52,48
51,Cambodia,51.3,48.7
52,Myanmar,50.9,49.1
53,Nicaragua,50.8,49.2
54,Ethiopia,50.7,49.3
55,Iran,50.5,49.5
56,Mauritius,50,50
57,Belarus,49.8,50.2
58,Belgium,49.4,50.6
59,United States,49.2,50.8
60,Malaysia,48.9,51.1
61,United Kingdom,48.3,51.7
62,New Zealand,48.2,51.8
63,Sweden,48,52
64,Morocco,47.8,52.2
65,Ireland,47.6,52.4
66,Egypt,47.3,52.7
67,Australia,47.3,52.7
68,Ukraine,47,53
69,Italy,46.9,53.1
70,Lebanon,46.8,53.2
71,Greece,46.4,53.6
72,Indonesia,46,54
73,Canada,45.7,54.3
74,Zambia,45.6,54.4
75,Sudan,45.5,54.5
76,Ghana,45.4,54.6
77,Kazakhstan,45.2,54.8
78,Tunisia,45.1,54.9
79,Barbados,44.9,55.1
80,Albania,44.7,55.3
81,India,44.3,55.7
82,Moldova,44.3,55.7
83,Pakistan,43.7,56.3
84,Philippines,43.1,56.9
85,Iraq,43.1,56.9
86,Malta,43,57
87,Palestine,42.8,57.2
88,Panama,42.7,57.3
89,Sri Lanka,42.1,57.9
90,Bosnia And Herzegovina,41.7,58.3
91,Turkey,41.2,58.8
92,North Macedonia,41.1,58.9
93,Kosovo (Disputed Territory),40.8,59.2
94,Vietnam,40.8,59.2
95,Jordan,40,60
96,Germany,39.4,60.6
97,Russia,38.7,61.3
98,Thailand,37.3,62.7
99,Serbia,37.2,62.8
100,Latvia,37.1,62.9
101,Nepal,36.7,63.3
102,Spain,36.6,63.4
103,Bulgaria,36.1,63.9
104,Montenegro,35.4,64.6
105,Cuba,34.4,65.6
106,Luxembourg,34.2,65.8
107,Hungary,33.7,66.3
108,Cyprus,33.1,66.9
109,Norway,33,67
110,Kuwait,32.8,67.2
111,Lithuania,32.4,67.6
112,Romania,32.3,67.7
113,Portugal,32.1,67.9
114,Azerbaijan,31.8,68.2
115,Israel,31.8,68.2
116,Slovakia,31,69
117,Cayman Islands,30.8,69.2
118,Austria,29.5,70.5
119,Brunei,29.3,70.7
120,Poland,29,71
121,Uzbekistan,27.9,72.1
122,Rwanda,26.9,73.1
123,Netherlands,26.9,73.1
124,Finland,26.8,73.2
125,Czech Republic,26.5,73.5
126,Switzerland,26.5,73.5
127,Georgia,26.3,73.7
128,Denmark,26,74
129,Iceland,25.7,74.3
130,Croatia,25.5,74.5
131,South Korea,24.9,75.1
132,Bahrain,24.5,75.5
133,China,24,76
134,Saudi Arabia,23.9,76.1
135,Slovenia,23.8,76.2
136,Estonia,23.7,76.3
137,Monaco,23.3,76.7
138,Japan,22.9,77.1
139,Singapore,22.6,77.4
140,Armenia,22.1,77.9
141,Hong Kong (China),21.5,78.5
142,Isle Of Man,21,79
143,Oman,18.3,81.7
144,Taiwan,17.1,82.9
145,Qatar,15.8,84.2
146,United Arab Emirates,15.5,84.5
147,Andorra,15.3,84.7
