,TourismEmploymentPer1000,FoodEmploymentPer1000,TourismGDPPercentage,BusinessToPersonalRatio,AverageStayDays,InboundArrivalsPer1000,DomesticTouristsPer1000,InboundToOutboundRatio,CostOfLivingIndex,GroceriesCostIndex,RestaurantPriceIndex,SafetyIndex,HealthCareIndex,QualityOfLifeIndex,ClimateIndex,ReverseTrafficInefficiencyIndex,ReverseTrafficTimeIndexMinutes,ReverseTrafficIndex,ReversePollutionIndex
TourismEmploymentPer1000,1.0,0.8718670076726343,0.30973976745690596,-0.21490088858509912,-0.07742993848257006,0.5044288652869318,0.43966286259189763,0.19888858016115585,0.4006957407156702,0.3770929935096746,0.4287654635460865,0.2920179815169383,0.1972507229040128,0.28385439621494346,0.07091680636591781,0.11333525345622118,0.26479765764273705,0.21452830416656385,0.3449613838996402
FoodEmploymentPer1000,0.8718670076726343,1.0,0.045187486542188314,-0.061675228398289705,-0.0541080931434372,0.5172528963573739,0.4267466986794718,0.13306122448979593,0.3914275455086699,0.38789559834538306,0.3719681930050217,0.3640366101559255,0.2901035508784001,0.38997817427293385,0.11429602283345416,0.21339712918660286,0.36485747573110594,0.31319742310490667,0.35582976591489185
TourismGDPPercentage,0.30973976745690596,0.045187486542188314,1.0,-0.3869141917187118,0.3031312556030131,0.3308384051596661,0.1808185706021744,0.5760042259577657,0.011600822109859372,0.007526901369732002,0.11359463632104282,0.008184517016089764,-0.1726677719855474,-0.11980407480877595,0.14318116904819397,-0.015223665223665224,0.015296367122764835,-0.01544039394901163,0.11885560172324423
BusinessToPersonalRatio,-0.21490088858509912,-0.061675228398289705,-0.3869141917187118,1.0,-0.3017399267399267,-0.24496544484297086,-0.01493212669683258,-0.436381228834059,-0.07528117896215213,-0.11526742721759971,-0.05847736957102843,-0.058294688350429634,0.032312429120843214,0.21231584367956796,-0.24111312412934688,0.06758147512864494,0.2560896588085327,0.14983800266819133,0.05477278740733966
AverageStayDays,-0.07742993848257006,-0.0541080931434372,0.3031312556030131,-0.3017399267399267,1.0,-0.08907194866098975,-0.3250420168067227,0.2637240672756766,-0.28782056439125103,-0.23113347876568494,-0.32501004908132214,-0.16280690780152932,-0.32085561514177313,-0.40808756836964954,0.13200814533931757,-0.3275395464074709,-0.28948271345519455,-0.3439364196626107,-0.2703818889424989
InboundArrivalsPer1000,0.5044288652869318,0.5172528963573739,0.3308384051596661,-0.24496544484297086,-0.08907194866098975,1.0,0.38448637316561846,0.3444290080577938,0.62077569586227,0.5080700137479148,0.6511925121431965,0.540594372115205,0.16399381268105243,0.5260162727293665,0.1202510230842117,0.5359438924605494,0.588579111415095,0.6242639431400332,0.4557097322991422
DomesticTouristsPer1000,0.43966286259189763,0.4267466986794718,0.1808185706021744,-0.01493212669683258,-0.3250420168067227,0.38448637316561846,1.0,-0.04157857646229739,0.602190230382127,0.6398314221357173,0.5287232570568626,0.3362232417397523,0.47689020158287376,0.5779730607442825,0.0063389920206721835,0.3835294117647059,0.4409921494381262,0.49379336853052974,0.5656459774971531
InboundToOutboundRatio,0.19888858016115585,0.13306122448979593,0.5760042259577657,-0.436381228834059,0.2637240672756766,0.3444290080577938,-0.04157857646229739,1.0,-0.0570004768051179,-0.010859032542514893,-0.09545195872977918,-0.02793851194204721,-0.14460290370694426,-0.11804249288661428,0.1827433085996889,0.0387372802960222,0.023996068204396443,-0.029371801926066272,-0.09391675568856464
CostOfLivingIndex,0.4006957407156702,0.3914275455086699,0.011600822109859372,-0.07528117896215213,-0.28782056439125103,0.62077569586227,0.602190230382127,-0.0570004768051179,1.0,0.9266117803257692,0.9097425123803676,0.4023409220976081,0.5766565070351969,0.8366008134736903,0.11337908463671288,0.3428982900512254,0.5685721487189536,0.5217944411276999,0.6907151287221168
GroceriesCostIndex,0.3770929935096746,0.38789559834538306,0.007526901369732002,-0.11526742721759971,-0.23113347876568494,0.5080700137479148,0.6398314221357173,-0.010859032542514893,0.9266117803257692,1.0,0.7512740209505387,0.3447951156504185,0.6357316577071481,0.7438615933256041,0.04346840608828077,0.2330393040814327,0.4506666987038609,0.41191013405365745,0.6425866076965696
RestaurantPriceIndex,0.4287654635460865,0.3719681930050217,0.11359463632104282,-0.05847736957102843,-0.32501004908132214,0.6511925121431965,0.5287232570568626,-0.09545195872977918,0.9097425123803676,0.7512740209505387,1.0,0.29529542198818143,0.4252134522772744,0.785620750440695,0.1810466407051199,0.4015745196924121,0.6055950941841531,0.5495523606077335,0.6866341674940036
SafetyIndex,0.2920179815169383,0.3640366101559255,0.008184517016089764,-0.058294688350429634,-0.16280690780152932,0.540594372115205,0.3362232417397523,-0.02793851194204721,0.4023409220976081,0.3447951156504185,0.29529542198818143,1.0,0.27610538182121835,0.46208086229880924,-0.34849839475851463,0.3870100569964844,0.4599745566721981,0.5182598260199205,0.28858215532140485
HealthCareIndex,0.1972507229040128,0.2901035508784001,-0.1726677719855474,0.032312429120843214,-0.32085561514177313,0.16399381268105243,0.47689020158287376,-0.14460290370694426,0.5766565070351969,0.6357316577071481,0.4252134522772744,0.27610538182121835,1.0,0.5739684458833975,0.03134168610181901,0.09984998506321559,0.20470229595454198,0.22152081039456933,0.4999478101123127
QualityOfLifeIndex,0.28385439621494346,0.38997817427293385,-0.11980407480877595,0.21231584367956796,-0.40808756836964954,0.5260162727293665,0.5779730607442825,-0.11804249288661428,0.8366008134736903,0.7438615933256041,0.785620750440695,0.46208086229880924,0.5739684458833975,1.0,0.0032738994702553323,0.45720905053925776,0.7250336834819062,0.6807353311508436,0.8752817336595844
ClimateIndex,0.07091680636591781,0.11429602283345416,0.14318116904819397,-0.24111312412934688,0.13200814533931757,0.1202510230842117,0.0063389920206721835,0.1827433085996889,0.11337908463671288,0.04346840608828077,0.1810466407051199,-0.34849839475851463,0.03134168610181901,0.0032738994702553323,1.0,-0.09189468268083596,-0.1350408623380334,-0.11645008577277427,0.00794560222187537
ReverseTrafficInefficiencyIndex,0.11333525345622118,0.21339712918660286,-0.015223665223665224,0.06758147512864494,-0.3275395464074709,0.5359438924605494,0.3835294117647059,0.0387372802960222,0.3428982900512254,0.2330393040814327,0.4015745196924121,0.3870100569964844,0.09984998506321559,0.45720905053925776,-0.09189468268083596,1.0,0.7996975670488643,0.9189818426862156,0.49031514787423613
ReverseTrafficTimeIndexMinutes,0.26479765764273705,0.36485747573110594,0.015296367122764835,0.2560896588085327,-0.28948271345519455,0.588579111415095,0.4409921494381262,0.023996068204396443,0.5685721487189536,0.4506666987038609,0.6055950941841531,0.4599745566721981,0.20470229595454198,0.7250336834819062,-0.1350408623380334,0.7996975670488643,1.0,0.919265989578466,0.6862053241217345
ReverseTrafficIndex,0.21452830416656385,0.31319742310490667,-0.01544039394901163,0.14983800266819133,-0.3439364196626107,0.6242639431400332,0.49379336853052974,-0.029371801926066272,0.5217944411276999,0.41191013405365745,0.5495523606077335,0.5182598260199205,0.22152081039456933,0.6807353311508436,-0.11645008577277427,0.9189818426862156,0.919265989578466,1.0,0.6754995500036413
ReversePollutionIndex,0.3449613838996402,0.35582976591489185,0.11885560172324423,0.05477278740733966,-0.2703818889424989,0.4557097322991422,0.5656459774971531,-0.09391675568856464,0.6907151287221168,0.6425866076965696,0.6866341674940036,0.28858215532140485,0.4999478101123127,0.8752817336595844,0.00794560222187537,0.49031514787423613,0.6862053241217345,0.6754995500036413,1.0
